Metabolite Name,increased or decreased,Organ,Sex,Age,Species,InChIKey,Keggs,Lipid Maps,Pubchem CID,Standardized Name,Formula,Exact mass,Subclass,HMDB,DOI,Title
niacinamide,increased,plasma,,45-70,Humans,DFPAKSUCGFBDDF-UHFFFAOYSA-N,C00153,No result,936,Niacinamide,C6H6N2O,122.048,Nicotinamides,HMDB0001406,https://doi.org/10.1038/ncomms7791,Distinct metabolomic signatures are associated with longevity in humans
quinolinic acid,increased,plasma,,45-70,Humans,GJAWHXHKYYXBSV-UHFFFAOYSA-N,C03722,No result,1066,Quinolinic acid,C7H5NO4,167.0219,Pyridinecarboxylic acids,HMDB0000232,https://doi.org/10.1038/ncomms7791,Distinct metabolomic signatures are associated with longevity in humans
LPC 14:0,increased,plasma,,45-70,Humans,VXUOFDJKYGDUJI-OAQYLSRUSA-N,No result,LMGP01050012,460604,LPC 14:0,C22H46NO7P,467.3012,LPC,HMDB0010379,https://doi.org/10.1038/ncomms7791,Distinct metabolomic signatures are associated with longevity in humans
arginine,increased,plasma,,45-70,Humans,ODKSFYDXXFIFQN-BYPYZUCNSA-N,C00062,No result,28782,Arginine,C6H14N4O2,174.1117,Amino acids,HMDB0000517,https://doi.org/10.1038/ncomms7791,Distinct metabolomic signatures are associated with longevity in humans
adenosine monophosphate,increased,plasma,,45-70,Humans,UDMBCSSLTHHNCD-KQYNXXCUSA-N,C00020,No result,6083,AMP,C10H14N5O7P,347.0631,Purine rNMP,HMDB0000045,https://doi.org/10.1038/ncomms7791,Distinct metabolomic signatures are associated with longevity in humans
inositol,increased,plasma,,45-70,Humans,CDAISMWEOUEBRE-UHFFFAOYSA-N,No result,No result,892,Myo-inositol,C6H12O6,180.0634,Inositols,No result,https://doi.org/10.1038/ncomms7791,Distinct metabolomic signatures are associated with longevity in humans
cytidine,decreased,brain,,,Multi-model rodents,UHDGCWIWMRVCDJ-XVFCMESISA-N,C00475,No result,6175,cytidine,C9H13N3O5,243.0855,Pyrimidine ribonucleosides,HMDB0000089,https://doi.org/10.1016/j.cmet.2015.07.005,"Organization of the Mammalian Metabolome according to Organ Function, Lineage Specialization, and Longevity"
cAMP,increased,brain,,,Multi-model rodents,IVOMOUWHDPKRLL-KQYNXXCUSA-N,C00575,No result,6076,cAMP,C10H12N5O6P,329.0525,Purine rNMP,HMDB0000058,https://doi.org/10.1016/j.cmet.2015.07.005,"Organization of the Mammalian Metabolome according to Organ Function, Lineage Specialization, and Longevity"
UMP,increased,brain,,,Multi-model rodents,DJJCXFVJDGTHFX-XVFCMESISA-N,C00105,No result,6030,UMP,C9H13N2O9P,324.0359,Pyrimidine rNMP,HMDB0000288,https://doi.org/10.1016/j.cmet.2015.07.005,"Organization of the Mammalian Metabolome according to Organ Function, Lineage Specialization, and Longevity"
4-hydroxybenzaldehyde,decreased,brain,,,Multi-model rodents,RGHHSNMVTDWUBI-UHFFFAOYSA-N,C00633,No result,126,4-hydroxybenzaldehyde,C7H6O2,122.0368,Hydroxybenzaldehydes,HMDB0011718,https://doi.org/10.1016/j.cmet.2015.07.005,"Organization of the Mammalian Metabolome according to Organ Function, Lineage Specialization, and Longevity"
glycerol,decreased,brain,,,Multi-model rodents,PEDCQBHIVMGVHV-UHFFFAOYSA-N,C00116,No result,753,glycerol,C3H8O3,92.0473,Sugar alcohols,HMDB0000131,https://doi.org/10.1016/j.cmet.2015.07.005,"Organization of the Mammalian Metabolome according to Organ Function, Lineage Specialization, and Longevity"
allantoin,decreased,brain,,,Multi-model rodents,POJWUDADGALRAB-UHFFFAOYSA-N,C01551,No result,204,allantoin,C4H6N4O3,158.044,Ureides,HMDB0000462,https://doi.org/10.1016/j.cmet.2015.07.005,"Organization of the Mammalian Metabolome according to Organ Function, Lineage Specialization, and Longevity"
C16:0 LPC,decreased,brain,,,Multi-model rodents,ASWBNKHCZGQVJV-UHFFFAOYSA-N,No result,LMGP01050113,86554,C16:0 LPC,C24H50NO7P,495.3325,LPC,No result,https://doi.org/10.1016/j.cmet.2015.07.005,"Organization of the Mammalian Metabolome according to Organ Function, Lineage Specialization, and Longevity"
C18:2 LPC,decreased,brain,,,Multi-model rodents,SPJFYYJXNPEZDW-OKLKQMLOSA-N,No result,No result,No result,C18:2 LPC,C26H50NO7P,519.3325,LPC,No result,https://doi.org/10.1016/j.cmet.2015.07.005,"Organization of the Mammalian Metabolome according to Organ Function, Lineage Specialization, and Longevity"
C18:1 LPC,decreased,brain,,,Multi-model rodents,YAMUFBLWGFFICM-PTGWMXDISA-N,No result,LMGP01050032,16081932,C18:1 LPC,C26H52NO7P,521.3481,LPC,HMDB0002815,https://doi.org/10.1016/j.cmet.2015.07.005,"Organization of the Mammalian Metabolome according to Organ Function, Lineage Specialization, and Longevity"
C18:0 LPC,decreased,brain,,,Multi-model rodents,IHNKQIMGVNPMTC-UHFFFAOYSA-N,No result,No result,86556,C18:0 LPC,C26H54NO7P,523.3638,LPC,No result,https://doi.org/10.1016/j.cmet.2015.07.005,"Organization of the Mammalian Metabolome according to Organ Function, Lineage Specialization, and Longevity"
C20:4 LPC,decreased,brain,,,Multi-model rodents,GOMVPVRDBLLHQC-VEJNOCSESA-N,No result,No result,53480469,C20:4 LPC,C28H50NO7P,543.3325,LPC,HMDB0010396,https://doi.org/10.1016/j.cmet.2015.07.005,"Organization of the Mammalian Metabolome according to Organ Function, Lineage Specialization, and Longevity"
C22:6 LPC,decreased,brain,,,Multi-model rodents,LSOWKZULVQWMLY-APPDJCNMSA-N,No result,LMGP01050056,10415542,C22:6 LPC,C30H50NO7P,567.3325,LPC,HMDB0010404,https://doi.org/10.1016/j.cmet.2015.07.005,"Organization of the Mammalian Metabolome according to Organ Function, Lineage Specialization, and Longevity"
C32:2 PC,increased,brain,,,Multi-model rodents,GPWHCUUIQMGELX-VHQDNGOZSA-N,No result,LMGP01010684,24778764,C32:2 PC,C40H76NO8P,729.5309,PC,HMDB0008002,https://doi.org/10.1016/j.cmet.2015.07.005,"Organization of the Mammalian Metabolome according to Organ Function, Lineage Specialization, and Longevity"
C16:0 LPE,decreased,brain,,,Multi-model rodents,CKPBBEOJHAPPBT-HXUWFJFHSA-N,No result,No result,53480922,C16:0 LPE,C21H44NO7P,453.2855,LPE,HMDB0011473,https://doi.org/10.1016/j.cmet.2015.07.005,"Organization of the Mammalian Metabolome according to Organ Function, Lineage Specialization, and Longevity"
C18:1 LPE,decreased,brain,,,Multi-model rodents,PYVRVRFVLRNJLY-MDZDMXLPSA-N,No result,No result,71571631,C18:1 LPE,C23H46NO7P,479.3012,LPE,No result,https://doi.org/10.1016/j.cmet.2015.07.005,"Organization of the Mammalian Metabolome according to Organ Function, Lineage Specialization, and Longevity"
C20:4 LPE,decreased,brain,,,Multi-model rodents,JPNPIRVRGLGTRE-LTKCOYKYSA-N,No result,No result,No result,C20:4 LPE,C25H44NO7P,501.2855,LPE,No result,https://doi.org/10.1016/j.cmet.2015.07.005,"Organization of the Mammalian Metabolome according to Organ Function, Lineage Specialization, and Longevity"
C22:6 LPE,decreased,brain,,,Multi-model rodents,XEVRBOQZSXWGQO-KUBAVDMBSA-N,No result,No result,No result,C22:6 LPE,C27H44NO7P,525.2855,LPE,No result,https://doi.org/10.1016/j.cmet.2015.07.005,"Organization of the Mammalian Metabolome according to Organ Function, Lineage Specialization, and Longevity"
alanine,increased,heart,,,Multi-model rodents,QNAYBMKLOCPYGJ-REOHCLBHSA-N,C00041,No result,5950,alanine,C3H7NO2,89.0477,Amino acids,HMDB0000161,https://doi.org/10.1016/j.cmet.2015.07.005,"Organization of the Mammalian Metabolome according to Organ Function, Lineage Specialization, and Longevity"
acetylglycine,increased,heart,,,Multi-model rodents,OKJIRPAQVSHGFK-UHFFFAOYSA-N,No result,No result,10972,acetylglycine,C4H7NO3,117.0426,Amino acids,HMDB0000532,https://doi.org/10.1016/j.cmet.2015.07.005,"Organization of the Mammalian Metabolome according to Organ Function, Lineage Specialization, and Longevity"
creatine,increased,heart,,,Multi-model rodents,CVSVTCORWBXHQV-UHFFFAOYSA-N,C00300,No result,586,creatine,C4H9N3O2,131.0695,Amino acids,HMDB0000064,https://doi.org/10.1016/j.cmet.2015.07.005,"Organization of the Mammalian Metabolome according to Organ Function, Lineage Specialization, and Longevity"
glutathione reduced,increased,heart,,,Multi-model rodents,RWSXRVCMGQZWBV-WDSKDSINSA-N,C00051,No result,124886,glutathione reduced,C10H17N3O6S,307.0838,Peptides,HMDB0000125,https://doi.org/10.1016/j.cmet.2015.07.005,"Organization of the Mammalian Metabolome according to Organ Function, Lineage Specialization, and Longevity"
uridine,increased,heart,,,Multi-model rodents,DRTQHJPVMGBUCF-XVFCMESISA-N,C00299,No result,6029,uridine,C9H12N2O6,244.0695,Pyrimidine ribonucleosides,HMDB0000296,https://doi.org/10.1016/j.cmet.2015.07.005,"Organization of the Mammalian Metabolome according to Organ Function, Lineage Specialization, and Longevity"
dCMP,decreased,heart,,,Multi-model rodents,NCMVOABPESMRCP-SHYZEUOFSA-N,C00239,No result,13945,dCMP,C9H14N3O7P,307.0569,Pyrimidine dNMP,HMDB0001202,https://doi.org/10.1016/j.cmet.2015.07.005,"Organization of the Mammalian Metabolome according to Organ Function, Lineage Specialization, and Longevity"
UDP-glucuronate,increased,heart,,,Multi-model rodents,HDYANYHVCAPMJV-LXQIFKJMSA-N,C00167,No result,17473,UDP-glucuronate,C15H22N2O18P2,580.0343,Pyrimidine rNDP,HMDB0000935,https://doi.org/10.1016/j.cmet.2015.07.005,"Organization of the Mammalian Metabolome according to Organ Function, Lineage Specialization, and Longevity"
malondialdehyde,decreased,heart,,,Multi-model rodents,WSMYVTOQOOLQHP-UHFFFAOYSA-N,C19440,No result,10964,malondialdehyde,C3H4O2,72.0211,"1,3-dicarbonyl compounds",HMDB0006112,https://doi.org/10.1016/j.cmet.2015.07.005,"Organization of the Mammalian Metabolome according to Organ Function, Lineage Specialization, and Longevity"
hydroxyphenylacetate,increased,heart,,,Multi-model rodents,FVMDYYGIDFPZAX-UHFFFAOYSA-M,No result,No result,6950813,hydroxyphenylacetate,C8H8O3,152.0473,Phenylacetic acids,No result,https://doi.org/10.1016/j.cmet.2015.07.005,"Organization of the Mammalian Metabolome according to Organ Function, Lineage Specialization, and Longevity"
thymine,decreased,heart,,,Multi-model rodents,RWQNBRDOKXIBIV-UHFFFAOYSA-N,C00178,No result,1135,thymine,C5H6N2O2,126.0429,Pyrimidines,HMDB0000262,https://doi.org/10.1016/j.cmet.2015.07.005,"Organization of the Mammalian Metabolome according to Organ Function, Lineage Specialization, and Longevity"
4-pyridoxate,decreased,heart,,,Multi-model rodents,HXACOUQIXZGNBF-UHFFFAOYSA-N,C00847,No result,6723,4-pyridoxate,C8H9NO4,183.0532,Pyridinecarboxylic acids,HMDB0000017,https://doi.org/10.1016/j.cmet.2015.07.005,"Organization of the Mammalian Metabolome according to Organ Function, Lineage Specialization, and Longevity"
lactose,increased,heart,,,Multi-model rodents,GUBGYTABKSRVRQ-DCSYEGIMSA-N,C01970,No result,6134,lactose,C12H22O11,342.1162,Disaccharides,HMDB0041627,https://doi.org/10.1016/j.cmet.2015.07.005,"Organization of the Mammalian Metabolome according to Organ Function, Lineage Specialization, and Longevity"
sucrose,increased,heart,,,Multi-model rodents,CZMRCDWAGMRECN-UGDNZRGBSA-N,C00089,No result,5988,sucrose,C12H22O11,342.1162,Disaccharides,HMDB0000258,https://doi.org/10.1016/j.cmet.2015.07.005,"Organization of the Mammalian Metabolome according to Organ Function, Lineage Specialization, and Longevity"
inositol,increased,heart,,,Multi-model rodents,CDAISMWEOUEBRE-UHFFFAOYSA-N,No result,No result,892,inositol,C6H12O6,180.0634,Inositols,No result,https://doi.org/10.1016/j.cmet.2015.07.005,"Organization of the Mammalian Metabolome according to Organ Function, Lineage Specialization, and Longevity"
creatinine,increased,heart,,,Multi-model rodents,DDRJAANPRJIHGJ-UHFFFAOYSA-N,C00791,No result,588,creatinine,C4H7N3O,113.0589,Imidazolines,HMDB0000562,https://doi.org/10.1016/j.cmet.2015.07.005,"Organization of the Mammalian Metabolome according to Organ Function, Lineage Specialization, and Longevity"
C18:0 SM,increased,heart,,,Multi-model rodents,LKQLRGMMMAHREN-YJFXYUILSA-N,No result,LMSP03010001,6453725,C18:0 SM,C41H83N2O6P,730.5989,SM,HMDB0062559,https://doi.org/10.1016/j.cmet.2015.07.005,"Organization of the Mammalian Metabolome according to Organ Function, Lineage Specialization, and Longevity"
cotinine,increased,heart,,,Multi-model rodents,UIKROCXWUNQSPJ-VIFPVBQESA-N,No result,No result,854019,cotinine,C10H12N2O,176.095,Other alkaloids,No result,https://doi.org/10.1016/j.cmet.2015.07.005,"Organization of the Mammalian Metabolome according to Organ Function, Lineage Specialization, and Longevity"
C16:0 LPC,decreased,heart,,,Multi-model rodents,ASWBNKHCZGQVJV-UHFFFAOYSA-N,No result,LMGP01050113,86554,C16:0 LPC,C24H50NO7P,495.3325,LPC,No result,https://doi.org/10.1016/j.cmet.2015.07.005,"Organization of the Mammalian Metabolome according to Organ Function, Lineage Specialization, and Longevity"
C22:6 LPC,decreased,heart,,,Multi-model rodents,LSOWKZULVQWMLY-APPDJCNMSA-N,No result,LMGP01050056,10415542,C22:6 LPC,C30H50NO7P,567.3325,LPC,HMDB0010404,https://doi.org/10.1016/j.cmet.2015.07.005,"Organization of the Mammalian Metabolome according to Organ Function, Lineage Specialization, and Longevity"
C16:0 LPE,decreased,heart,,,Multi-model rodents,CKPBBEOJHAPPBT-HXUWFJFHSA-N,No result,No result,53480922,C16:0 LPE,C21H44NO7P,453.2855,LPE,HMDB0011473,https://doi.org/10.1016/j.cmet.2015.07.005,"Organization of the Mammalian Metabolome according to Organ Function, Lineage Specialization, and Longevity"
C44:1 TAG,increased,heart,,,Multi-model rodents,JRZPEKVQFIJQHH-CTJRCAHCSA-N,No result,No result,No result,C44:1 TAG,C47H88O6,748.6581,TAG,HMDB0042273,https://doi.org/10.1016/j.cmet.2015.07.005,"Organization of the Mammalian Metabolome according to Organ Function, Lineage Specialization, and Longevity"
C48:2 TAG,increased,heart,,,Multi-model rodents,UKADBOOPSKVURC-RGFFXGESSA-N,No result,No result,No result,C48:2 TAG,C51H94O6,802.705,TAG,No result,https://doi.org/10.1016/j.cmet.2015.07.005,"Organization of the Mammalian Metabolome according to Organ Function, Lineage Specialization, and Longevity"
C50:1 TAG,increased,heart,,,Multi-model rodents,FDCOHGHEADZEGF-QPLCGJKRSA-N,No result,No result,11308890,C50:1 TAG,C53H100O6,832.752,TAG,HMDB0044109,https://doi.org/10.1016/j.cmet.2015.07.005,"Organization of the Mammalian Metabolome according to Organ Function, Lineage Specialization, and Longevity"
C52:1 TAG,increased,heart,,,Multi-model rodents,XRTUKMLVVRMOLM-LSPMGEJTSA-N,No result,No result,No result,C52:1 TAG,C55H104O6,860.7833,TAG,No result,https://doi.org/10.1016/j.cmet.2015.07.005,"Organization of the Mammalian Metabolome according to Organ Function, Lineage Specialization, and Longevity"
C52:2 TAG,increased,heart,,,Multi-model rodents,MDCUASFVKLEFPW-NXNLMSDJSA-N,No result,No result,No result,C52:2 TAG,C55H102O6,858.7676,TAG,No result,https://doi.org/10.1016/j.cmet.2015.07.005,"Organization of the Mammalian Metabolome according to Organ Function, Lineage Specialization, and Longevity"
C54:1 TAG,increased,heart,,,Multi-model rodents,AOSKWYIWKDMXST-SEDDCBKKSA-N,No result,No result,No result,C54:1 TAG,C57H108O6,888.8146,TAG,No result,https://doi.org/10.1016/j.cmet.2015.07.005,"Organization of the Mammalian Metabolome according to Organ Function, Lineage Specialization, and Longevity"
C54:2 TAG,increased,heart,,,Multi-model rodents,FPUBLSPUCGHELU-AWEKCPRFSA-N,No result,LMGL03010234,9544199,C54:2 TAG,C57H106O6,886.7989,TAG,HMDB0005383,https://doi.org/10.1016/j.cmet.2015.07.005,"Organization of the Mammalian Metabolome according to Organ Function, Lineage Specialization, and Longevity"
C54:3 TAG,increased,heart,,,Multi-model rodents,SENTUJWTPLLHAV-TVXYYDOCSA-N,No result,No result,No result,C54:3 TAG,C57H104O6,884.7833,TAG,HMDB0042199,https://doi.org/10.1016/j.cmet.2015.07.005,"Organization of the Mammalian Metabolome according to Organ Function, Lineage Specialization, and Longevity"
C56:1 TAG,increased,heart,,,Multi-model rodents,XRKBRKZCVJSDIQ-WOGGMIHASA-N,No result,No result,No result,C56:1 TAG,C59H112O6,916.8459,TAG,No result,https://doi.org/10.1016/j.cmet.2015.07.005,"Organization of the Mammalian Metabolome according to Organ Function, Lineage Specialization, and Longevity"
C56:2 TAG,increased,heart,,,Multi-model rodents,PDEQUPGHMOMBFC-MYJCFCEBSA-N,No result,No result,No result,C56:2 TAG,C59H110O6,914.8302,TAG,No result,https://doi.org/10.1016/j.cmet.2015.07.005,"Organization of the Mammalian Metabolome according to Organ Function, Lineage Specialization, and Longevity"
C56:3 TAG,increased,heart,,,Multi-model rodents,QXMHHXQBBKDSSL-BAQZNRHJSA-N,No result,LMGL03010484,9544447,C56:3 TAG,C59H108O6,912.8146,TAG,HMDB0005454,https://doi.org/10.1016/j.cmet.2015.07.005,"Organization of the Mammalian Metabolome according to Organ Function, Lineage Specialization, and Longevity"
creatine,increased,kidney,,,Multi-model rodents,CVSVTCORWBXHQV-UHFFFAOYSA-N,C00300,No result,586,creatine,C4H9N3O2,131.0695,Amino acids,HMDB0000064,https://doi.org/10.1016/j.cmet.2015.07.005,"Organization of the Mammalian Metabolome according to Organ Function, Lineage Specialization, and Longevity"
salicylurate,decreased,kidney,,,Multi-model rodents,ONJSZLXSECQROL-UHFFFAOYSA-N,C07588,No result,10253,salicylurate,C9H9NO4,195.0532,Hippuric acids,HMDB0000840,https://doi.org/10.1016/j.cmet.2015.07.005,"Organization of the Mammalian Metabolome according to Organ Function, Lineage Specialization, and Longevity"
uridine,increased,kidney,,,Multi-model rodents,DRTQHJPVMGBUCF-XVFCMESISA-N,C00299,No result,6029,uridine,C9H12N2O6,244.0695,Pyrimidine ribonucleosides,HMDB0000296,https://doi.org/10.1016/j.cmet.2015.07.005,"Organization of the Mammalian Metabolome according to Organ Function, Lineage Specialization, and Longevity"
malondialdehyde,decreased,kidney,,,Multi-model rodents,WSMYVTOQOOLQHP-UHFFFAOYSA-N,C19440,No result,10964,malondialdehyde,C3H4O2,72.0211,"1,3-dicarbonyl compounds",HMDB0006112,https://doi.org/10.1016/j.cmet.2015.07.005,"Organization of the Mammalian Metabolome according to Organ Function, Lineage Specialization, and Longevity"
4-hydroxybenzaldehyde,decreased,kidney,,,Multi-model rodents,RGHHSNMVTDWUBI-UHFFFAOYSA-N,C00633,No result,126,4-hydroxybenzaldehyde,C7H6O2,122.0368,Hydroxybenzaldehydes,HMDB0011718,https://doi.org/10.1016/j.cmet.2015.07.005,"Organization of the Mammalian Metabolome according to Organ Function, Lineage Specialization, and Longevity"
thiamine,decreased,kidney,,,Multi-model rodents,JZRWCGZRTZMZEH-UHFFFAOYSA-N,C00378,No result,1130,thiamine,C12H17N4OS,265.1123,Thiamines,HMDB0000235,https://doi.org/10.1016/j.cmet.2015.07.005,"Organization of the Mammalian Metabolome according to Organ Function, Lineage Specialization, and Longevity"
histamine,decreased,kidney,,,Multi-model rodents,NTYJJOPFIAHURM-UHFFFAOYSA-N,C00388,No result,774,histamine,C5H9N3,111.0796,Aralkylamines,HMDB0000870,https://doi.org/10.1016/j.cmet.2015.07.005,"Organization of the Mammalian Metabolome according to Organ Function, Lineage Specialization, and Longevity"
1-methylhistamine,decreased,kidney,,,Multi-model rodents,FHQDWPCFSJMNCT-UHFFFAOYSA-N,C05127,No result,3614,1-methylhistamine,C6H11N3,125.0953,Aralkylamines,HMDB0000898,https://doi.org/10.1016/j.cmet.2015.07.005,"Organization of the Mammalian Metabolome according to Organ Function, Lineage Specialization, and Longevity"
